ID,Predicted_BMI,Actual_BMI
0,31.953042528935157,26.0
1,27.462812730714674,26.1
2,30.48768107654412,25.0
3,31.48644615432537,34.4
4,32.91263898883831,36.1
5,31.7727582483817,38.8
6,27.377777148777724,35.0
7,28.495794549609577,22.3
8,33.51288178080363,38.1
9,33.41881637636776,41.5
10,35.374991754510134,32.0
11,31.143038469054613,25.9
12,45.419523167773086,59.4
13,35.06825134346017,36.1
14,32.55558315348907,0.0
15,32.422763441617505,30.4
16,36.08961013371281,34.6
17,32.31892173636613,29.6
18,22.084017602177543,22.2
19,25.36503331413704,33.7
20,34.6436345594998,28.9
21,34.97288232584506,29.0
22,37.53461237491302,40.9
23,34.23742743784308,27.5
24,30.480755950275643,29.9
25,27.84485025403638,34.6
26,35.089576100099514,38.4
27,36.178150271279996,30.8
28,31.648035108534096,29.3
29,32.26538640019176,31.2
30,32.29129396166603,42.9
31,21.92305200583181,29.8
32,29.426788906448582,21.1
33,40.37367495433233,43.3
34,31.102060446778832,27.3
35,39.660218569604204,46.1
36,30.826028577249513,28.4
37,32.664258899599645,32.4
38,30.45218931964696,31.6
39,32.328407266756514,46.2
40,33.69590714194705,39.4
41,30.850392487468177,27.8
42,31.32132481863738,28.0
43,40.94759841279712,32.0
44,29.793376195430675,23.6
45,25.87333285347895,19.1
46,39.086066589609715,30.5
47,37.31065130628349,34.9
48,29.308067365951818,24.2
49,29.879911678830418,32.0
50,21.615527175397812,0.0
51,31.29857211144681,31.6
52,38.82684221372582,32.7
53,29.334833722396475,23.9
54,38.0274955508461,46.8
55,30.76256590817114,31.6
56,26.286523636442418,32.9
57,27.366208793892042,23.6
58,32.45829227687546,25.9
59,30.75704425501081,32.0
60,35.917586278876456,38.7
61,22.03373018064588,0.0
62,34.632457149291774,34.0
63,35.76478325916695,39.4
64,39.88655962810264,45.8
65,29.376101701597037,28.5
66,34.3868030086061,41.0
67,31.309186777829552,36.3
68,33.14386600195768,37.4
69,37.85470973077616,30.3
70,37.65745434734922,37.7
71,35.70445010277995,47.9
72,28.028928318991085,44.5
73,29.906197415006087,24.2
74,36.894792471851275,32.4
75,36.67772418731436,29.0
76,32.75650243612942,32.9
77,33.05408663919578,28.9
78,28.694540569003106,25.4
79,39.05166073156828,39.4
80,33.69560072635391,48.8
81,31.087655311215176,33.2
82,30.881733081714067,33.8
83,35.48496990354141,32.4
84,34.57435773867911,46.3
85,36.788011849632866,28.5
86,38.46215603816958,38.5
87,32.5740334952348,35.3
88,36.98063609526248,40.6
89,28.850177413622376,27.5
90,29.58587579322275,23.7
91,30.01676927332227,19.4
92,30.6491715918179,34.9
93,34.27697508657385,34.5
94,34.865884975219025,32.9
95,28.294082014363553,29.9
96,29.81403525405509,33.8
97,27.485377526933302,42.2
98,41.93702086454344,53.2
99,30.715644250935522,29.0
100,32.389313750783856,32.1
101,29.06980066600795,34.4
102,33.690085879931814,37.7
103,31.20482053383831,28.6
104,29.829697269965642,26.3
105,31.919219942328258,27.6
106,30.831017195644726,32.9
107,27.99677732904085,33.7
108,36.581238376232534,33.6
109,32.169503685292106,39.9
110,35.14760114998258,23.4
111,30.323679142324124,28.1
112,28.785649399303434,40.1
113,32.612719753670646,34.4
114,35.272348440497794,39.0
115,25.972940021679477,25.1
116,31.341782300374675,29.0
117,36.13682733074063,29.3
118,34.968159245282536,36.3
119,39.5727072379563,36.5
120,27.27285241466079,39.6
121,32.66914996767525,39.9
122,36.49035101611257,27.6
123,38.86741837702678,46.8
124,29.967892762039025,24.8
125,32.74538219922822,39.8
126,30.607518255824637,33.6
127,36.29332200560161,40.9
128,32.13423989579404,28.8
129,33.45969253546807,33.2
130,37.335027527493054,43.6
131,35.445038997676676,33.2
132,41.18374125588106,36.4
133,27.566910207389974,34.3
134,32.2037121556926,24.0
135,30.220535932223203,29.8
136,28.189818518492725,24.4
137,28.69497532304729,40.2
138,36.744949700393995,33.6
139,28.008958777010317,27.8
140,41.24750777957049,42.9
141,30.93403723756194,34.3
142,30.968954507989192,26.2
143,31.876199549735755,48.3
144,37.19867403473685,33.6
145,34.03138971623929,36.6
146,32.188029493907166,32.0
147,30.85991169966586,26.2
148,37.715163218275485,32.5
149,29.27716604940033,26.9
150,33.07030105423319,38.1
151,32.109043289301134,47.9
152,28.508984715555894,0.0
153,22.218210820344794,28.0
